"","Generation","Crosses","Treatment","Exposure","Sample","Sex","Sugar.Weight","Glucose","Trehalose","Glycogen","Fat.Weight","TAG","Fitness","X"
"51","F1","MnPn","NSD","Both",3,"male",2.59,5.351047199,11.23543204,13.49299215,2.72,22.05722494,NA,NA
"52","F1","MnPn","NSD","Both",4,"male",2.52,4.206513337,4.543390139,10.33641939,2.77,35.19334334,NA,NA
"53","F1","MnPn","NSD","Both",5,"male",2.62,9.406962268,12.77954159,21.24104154,2.4,13.87162233,NA,NA
"54","F1","MnPn","NSD","Both",6,"male",2.44,5.442996575,101.4834148,9.441541936,2.42,18.7787262,NA,NA
"55","F1","MnPn","NSD","Both",7,"male",2.69,5.273087556,8.495939395,8.328441281,2.41,13.24822729,NA,NA
"56","F1","MnPn","NSD","Both",8,"male",2.73,7.476265823,11.24999473,8.204187068,2.51,13.18693133,NA,NA
"57","F1","MnPn","NSD","Both",9,"male",2.66,6.984296449,11.90923382,16.39764223,2.72,21.59204853,NA,NA
"58","F1","MnPn","NSD","Both",10,"male",2.61,7.497280322,13.35083299,13.60162644,2.4,12.05476974,NA,NA
"59","F1","MnPn","NSD","Both",11,"male",2.55,8.664385707,31.2103486,17.4432641,2.52,24.60002199,NA,NA
"60","F1","MnPn","NSD","Both",12,"male",2.7,10.55789046,5.690388548,8.143797161,2.54,23.86484369,NA,NA
"61","F1","MnPn","NSD","Both",13,"male",2.27,5.315803572,12.86278028,8.663710454,2.74,19.01547119,NA,NA
"62","F1","MnPn","NSD","Both",14,"male",2.81,5.651665443,14.06955667,10.84321658,2.76,20.51893125,NA,NA
"63","F1","MnPn","NSD","Both",15,"male",2.69,7.220776494,10.30040334,17.77289484,2.33,32.77407802,NA,NA
"64","F1","MnPn","NSD","Both",16,"male",2.59,5.428600972,17.97795412,12.65912249,2.58,30.04533934,NA,NA
"65","F1","MnPn","NSD","Both",17,"male",2.31,7.659818108,9.261458103,9.125035215,2.58,18.21713066,NA,NA
"66","F1","MnPn","NSD","Both",18,"male",2.5,7.557364276,10.79680239,10.81670019,2.78,32.7886845,NA,NA
"67","F1","MnPn","NSD","Both",19,"male",2.68,8.807565567,14.41363541,1.725733878,2.53,33.2336974,NA,NA
"68","F1","MnPn","NSD","Both",20,"male",2.63,6.33848189,18.19865579,12.30439899,2.41,15.36065378,NA,NA
"69","F1","MnPn","NSD","Both",21,"male",2.78,6.217510904,13.07973995,10.97831637,2.67,25.50366917,NA,NA
"70","F1","MnPn","NSD","Both",22,"male",2.93,4.132149164,18.00102077,10.38527423,2.52,15.82856071,NA,NA
"71","F1","MnPn","NSD","Both",23,"male",2.52,8.964072914,14.10888734,14.00017125,2.66,4.309031404,NA,NA
"72","F1","MnPn","NSD","Both",24,"male",2.85,6.143175005,21.80951597,5.81570108,2.65,21.09992288,NA,NA
"73","F1","McPc","CD","Both",1,"male",2.59,5.658341676,8.093985236,20.73420295,2.7,21.86370499,NA,NA
"74","F1","McPc","CD","Both",2,"male",2.67,7.882675439,15.4746356,22.00078166,2.6,24.77467519,NA,NA
"75","F1","McPc","CD","Both",3,"male",2.5,6.8603622,10.38639651,21.28782425,2.7,35.18690155,NA,NA
"76","F1","McPc","CD","Both",4,"male",2.48,6.486834923,10.36493569,12.18048646,2.37,17.31930872,NA,NA
"77","F1","McPc","CD","Both",5,"male",2.85,6.047240803,9.757816012,15.92889209,2.64,36.66291683,NA,NA
"78","F1","McPc","CD","Both",6,"male",2.4,6.865943049,15.64566171,20.8995666,2.33,29.73524619,NA,NA
"79","F1","McPc","CD","Both",7,"male",2.74,7.174752331,10.62427605,16.98386509,2.7,43.79887614,NA,NA
"80","F1","McPc","CD","Both",8,"male",2.66,12.42583473,3.281509225,10.58358308,2.57,24.80837704,NA,NA
"81","F1","McPc","CD","Both",9,"male",2.69,6.467681624,12.01934788,16.47313279,2.53,26.03972552,NA,NA
"82","F1","McPc","CD","Both",10,"male",2.61,5.625134989,8.88557685,12.16927825,2.93,36.4787233,NA,NA
"83","F1","McPc","CD","Both",11,"male",2.59,5.765276956,10.34590025,11.71964683,2.55,37.99138298,NA,NA
"84","F1","McPc","CD","Both",12,"male",2.65,7.699526495,11.57737896,21.8925055,2.78,30.90161128,NA,NA
"85","F1","McPc","CD","Both",13,"male",2.6,10.83834857,17.54872873,16.96866091,2.47,28.87718218,NA,NA
"86","F1","McPc","CD","Both",14,"male",2.56,8.272039779,29.09021917,24.47459392,2.5,17.07486001,NA,NA
"87","F1","McPc","CD","Both",15,"male",2.52,8.611827967,26.65997543,11.61448038,2.85,15.0810123,NA,NA
"88","F1","McPc","CD","Both",16,"male",2.51,7.272570804,24.13533982,15.04706568,2.49,22.42575088,NA,NA
"89","F1","McPc","CD","Both",17,"male",2.58,8.287807233,11.9205261,10.09557756,2.64,38.67144588,NA,NA
"90","F1","McPc","CD","Both",18,"male",2.59,9.549008225,11.55578975,8.273727806,2.68,15.7573175,NA,NA
"91","F1","McPc","CD","Both",19,"male",2.59,8.507393176,29.87740027,16.39052881,2.42,32.1448235,NA,NA
"92","F1","McPc","CD","Both",20,"male",2.55,9.915551018,18.32471538,18.88432303,2.59,34.71732487,NA,NA
"93","F1","McPc","CD","Both",21,"male",2.71,6.408168263,18.68174402,16.50677806,2.67,36.4453857,NA,NA
"94","F1","McPc","CD","Both",22,"male",2.69,7.327268028,19.19983771,6.006958721,2.6,25.78202954,NA,NA
"95","F1","McPc","CD","Both",23,"male",2.65,4.673473024,7.451526976,15.77526313,2.65,26.94973211,NA,NA
"96","F1","McPc","CD","Both",24,"male",2.69,7.344640196,23.29571068,32.30729136,2.34,26.51377494,NA,NA
"97","F1","MnPc","NSD","Maternal",1,"female",3.87,11.88393956,6.925440615,29.31367803,3.63,14.63299318,341,NA
"98","F1","MnPc","NSD","Maternal",2,"female",3.94,8.27655339,5.217136827,17.8959526,3.86,13.78889663,317,NA
"99","F1","MnPc","NSD","Maternal",3,"female",3.65,10.76838516,6.308376931,12.09482572,3.94,22.58492314,223,NA
"100","F1","MnPc","NSD","Maternal",4,"female",3.87,9.553750883,7.058736143,16.2459971,3.83,25.15077692,434,NA
"101","F1","MnPc","NSD","Maternal",5,"female",3.82,8.426323733,6.057021984,18.33783205,3.79,27.15059922,255,NA
"102","F1","MnPc","NSD","Maternal",6,"female",4.14,12.882886,6.269608954,21.88866628,3.83,22.54194062,485,NA
"103","F1","MnPc","NSD","Maternal",7,"female",3.84,11.20361499,6.902714315,26.85554807,3.6,26.56255708,206,NA
"104","F1","MnPc","NSD","Maternal",8,"female",3.63,8.850425667,12.73438487,15.1229811,3.73,24.63669797,334,NA
"105","F1","MnPc","NSD","Maternal",9,"female",3.63,9.232316181,5.924238243,14.0463333,3.72,27.39912724,527,NA
"106","F1","MnPc","NSD","Maternal",10,"female",3.54,9.801822795,11.27344602,11.22650427,4.23,19.36237799,377,NA
"107","F1","MnPc","NSD","Maternal",11,"female",3.9,10.35184531,5.640277559,24.12388812,3.84,29.39666088,280,NA
"108","F1","MnPc","NSD","Maternal",12,"female",3.73,8.974295542,3.99447268,13.7203487,3.91,25.82912364,527,NA
