"","contrast","estimate","std.error","statistic","p.value","generation","metabolite","sex","exposure","pAdj","results","pAdjALL","SignifAll"
"15","CrossesMcPn",1.88884356196204,1.71096374186187,1.1039646929669,0.271057950169596,"F2","Glycogen","female","Paternal",0.536134777790422," ",0.637363022548054," "
"16","CrossesMnPn",-5.86413041772561,1.83681752712556,-3.19254924951767,0.00160637394095486,"F3","Glycogen","female","Both",0.0159031020154531,"*",0.0160637394095486,"*"
"17","CrossesMnPc",-1.62710115392829,1.84407705137152,-0.882339028468547,0.378510730684422,"F3","Glycogen","female","Maternal",0.646078660995823," ",0.740564473078216," "
"18","CrossesMcPn",-1.56621206245569,1.85589113982686,-0.843913755955435,0.399590681105766,"F3","Glycogen","female","Paternal",0.648516023433948," ",0.749232527073311," "
"19","CrossesMnPn",-1.24417115150449,1.54587849861952,-0.804831138162246,0.4219615259974,"F1","Trehalose","female","Both",0.652721735527228," ",0.751084318831976," "
"20","CrossesMnPc",-2.01606157169554,1.56931184388039,-1.28467874601041,0.200528344688116,"F1","Trehalose","female","Maternal",0.484202588393256," ",0.546895485513044," "
"21","CrossesMcPn",-1.27214333737049,1.53899222423128,-0.82660803436218,0.409535723968331,"F1","Trehalose","female","Paternal",0.652721735527228," ",0.751084318831976," "
"22","CrossesMnPn",0.115825891128859,1.14121209544674,0.101493746509511,0.919269638707486,"F2","Trehalose","female","Both",0.997854907033459," ",0.999818594883818," "
"23","CrossesMnPc",-1.05780105603834,1.14600340659076,-0.923034826907871,0.357204451424382,"F2","Trehalose","female","Maternal",0.646078660995823," ",0.7306454688226," "
"24","CrossesMcPn",-1.77350525769036,1.17383917831914,-1.51085880455098,0.132549240698688,"F2","Trehalose","female","Paternal",0.390184853780795," ",0.408822342944438," "
"25","CrossesMnPn",0.0527884287130687,1.27393137580251,0.04143741940559,0.966982974890608,"F3","Trehalose","female","Both",0.997854907033459," ",0.999818594883818," "
"26","CrossesMnPc",-1.5746517549828,1.27896624484843,-1.23119101956394,0.21950344878782,"F3","Trehalose","female","Maternal",0.493882759772595," ",0.572617692489965," "
"27","CrossesMcPn",0.184398773488572,1.28715994821716,0.143260185918605,0.886209586343435,"F3","Trehalose","female","Paternal",0.98578369716854," ",0.999818594883818," "
"28","CrossesMnPn",1.05355265492632,0.598510914326012,1.76028979540455,0.0800292761494425,"F1","Glucose","female","Both",0.281968942569686," ",0.300109785560409," "
"29","CrossesMnPc",-0.815486957161883,0.607583498562304,-1.34218088393041,0.181200134840763,"F1","Glucose","female","Maternal",0.471636384573384," ",0.517714670973608," "
"30","CrossesMcPn",-0.364279070232251,0.595844786047439,-0.611365709262493,0.541716197737389,"F1","Glucose","female","Paternal",0.74485977188891," ",0.846027831373615," "
"31","CrossesMnPn",0.975556298494869,0.523731660225216,1.86270254900259,0.0641068688343482,"F2","Glucose","female","Both",0.242128591300761," ",0.250852965003971," "
"32","CrossesMnPc",1.29340937694004,0.52593051646774,2.45927805373768,0.0148509553596512,"F2","Glucose","female","Maternal",0.0864849753297337,".",0.0921783436116284,"."
"33","CrossesMcPn",0.674293629976106,0.538705069943923,1.25169349166567,0.212279142985252,"F2","Glucose","female","Paternal",0.493882759772595," ",0.570302175184259," "
"34","CrossesMnPn",-0.83412543513995,0.419231723292607,-1.98965247331191,0.0478085280622815,"F3","Glucose","female","Both",0.215138376280267," ",0.220654744902838," "
"35","CrossesMnPc",0.122393223718446,0.420888623237743,0.290797177592778,0.771467358720651,"F3","Glucose","female","Maternal",0.920183957992102," ",0.999818594883818," "
