"","contrast","estimate","std.error","statistic","p.value","generation","metabolite","sex","exposure","pAdj","results","pAdjALL","SignifAll"
"166","Both vs Maternal NSD",-5.20000000000004,37.0443409983225,-0.140372317602721,0.989196178881831,"F3","Fitness","female","NA",0.999818594883818," ",0.999818594883818," "
"167","Both vs Paternal NSD",-24.0000000000001,37.0443409983225,-0.64787223508948,0.793574858739645,"F3","Fitness","female","NA",0.999818594883818," ",0.999818594883818," "
"168","Maternal vs Paternal NSD",-18.8000000000001,37.0443409983225,-0.50749991748676,0.867694919915112,"F3","Fitness","female","NA",0.999818594883818," ",0.999818594883818," "
"169","Both vs Maternal NSD",1.67123713114338,2.66878667810664,0.626216079708937,0.805713349029234,"F3","TAG","male","NA",0.999818594883818," ",0.999818594883818," "
"170","Both vs Paternal NSD",0.326323950913829,2.66786201381791,0.122316652519384,0.991785552045956,"F3","TAG","male","NA",0.999818594883818," ",0.999818594883818," "
"171","Maternal vs Paternal NSD",-1.34491318022955,2.65889830499067,-0.505815953060404,0.868506022682084,"F3","TAG","male","NA",0.999818594883818," ",0.999818594883818," "
"172","Both vs Maternal NSD",-1.98973644895346,1.83953033178561,-1.08165460203206,0.525464869669574,"F3","Glycogen","male","NA",0.9898291730985," ",0.840917754072485," "
"173","Both vs Paternal NSD",-1.28019859219924,1.83658646510835,-0.697053265131032,0.765202408454992,"F3","Glycogen","male","NA",0.999818594883818," ",0.999818594883818," "
"174","Maternal vs Paternal NSD",0.709537856754225,1.83930973955882,0.385763116180974,0.921250021505665,"F3","Glycogen","male","NA",0.999818594883818," ",0.999818594883818," "
"175","Both vs Maternal NSD",0.527487815457346,1.27581285119231,0.413452345274921,0.91008865934717,"F3","Trehalose","male","NA",0.999818594883818," ",0.999818594883818," "
"176","Both vs Paternal NSD",0.750046608732469,1.27377112191276,0.58883938866989,0.826112750200296,"F3","Trehalose","male","NA",0.999818594883818," ",0.999818594883818," "
"177","Maternal vs Paternal NSD",0.222558793275123,1.27565985866322,0.174465624017005,0.98335938598999,"F3","Trehalose","male","NA",0.999818594883818," ",0.999818594883818," "
"178","Both vs Maternal NSD",-0.369763099009011,0.419850888645611,-0.880701003639228,0.652529756756806,"F3","Glucose","male","NA",0.999818594883818," ",0.939642849729801," "
"179","Both vs Paternal NSD",0.23854848222612,0.419178986139225,0.569085021229783,0.836577618303302,"F3","Glucose","male","NA",0.999818594883818," ",0.999818594883818," "
"180","Maternal vs Paternal NSD",0.608311581235131,0.419800541097193,1.44904906421808,0.315778380793459,"F3","Glucose","male","NA",0.799314026383443," ",0.684820584853284," "
